x	f(x)	S(x)	Error
3.4250	-0.140958	-0.140941	1.753209e-05
3.4500	-0.152249	-0.152241	8.087932e-06
3.4750	-0.163329	-0.163328	1.716553e-06
3.5000	-0.174194	-0.174194	0.000000e+00
3.5250	-0.184837	-0.184833	4.073948e-06
3.5500	-0.195256	-0.195243	1.271971e-05
3.5750	-0.205444	-0.205420	2.427460e-05
3.6000	-0.215398	-0.215361	3.726939e-05
3.6250	-0.225113	-0.225063	5.042911e-05
3.6500	-0.234587	-0.234524	6.267382e-05
3.6750	-0.243814	-0.243741	7.311916e-05
3.7000	-0.252792	-0.252711	8.107684e-05
3.7250	-0.261517	-0.261431	8.605493e-05
3.7500	-0.269986	-0.269899	8.775810e-05
3.7750	-0.278197	-0.278111	8.608765e-05
3.8000	-0.286145	-0.286064	8.114146e-05
3.8250	-0.293830	-0.293757	7.321381e-05
3.8500	-0.301248	-0.301185	6.279506e-05
3.8750	-0.308397	-0.308347	5.057120e-05
3.9000	-0.315276	-0.315239	3.742334e-05
3.9250	-0.321883	-0.321858	2.442694e-05
3.9500	-0.328215	-0.328202	1.285112e-05
3.9750	-0.334272	-0.334268	4.157655e-06
4.0000	-0.340053	-0.340053	5.551115e-17
4.0250	-0.345557	-0.345555	1.590889e-06
4.0500	-0.350782	-0.350774	7.807413e-06
4.0750	-0.355728	-0.355711	1.708333e-05
4.1000	-0.360395	-0.360367	2.803880e-05
4.1250	-0.364783	-0.364743	3.947885e-05
4.1500	-0.368891	-0.368840	5.039162e-05
4.1750	-0.372719	-0.372659	5.994665e-05
4.2000	-0.376268	-0.376201	6.749294e-05
4.2250	-0.379539	-0.379467	7.255699e-05
4.2500	-0.382532	-0.382457	7.484073e-05
4.2750	-0.385247	-0.385173	7.421933e-05
4.3000	-0.387687	-0.387616	7.073895e-05
4.3250	-0.389851	-0.389786	6.461439e-05
4.3500	-0.391742	-0.391685	5.622665e-05
4.3750	-0.393360	-0.393314	4.612042e-05
4.4000	-0.394708	-0.394673	3.500147e-05
4.4250	-0.395788	-0.395764	2.373398e-05
4.4500	-0.396600	-0.396587	1.333781e-05
4.4750	-0.397148	-0.397143	4.985613e-06
4.5000	-0.397434	-0.397434	0.000000e+00
4.5250	-0.397460	-0.397461	6.291823e-07
4.5500	-0.397229	-0.397226	2.312952e-06
4.5750	-0.396743	-0.396735	7.702410e-06
4.6000	-0.396005	-0.395990	1.455289e-05
4.6250	-0.395018	-0.394996	2.201255e-05
4.6500	-0.393786	-0.393757	2.936080e-05
4.6750	-0.392311	-0.392275	3.600489e-05
4.7000	-0.390598	-0.390556	4.147664e-05
4.7250	-0.388649	-0.388603	4.542895e-05
4.7500	-0.386468	-0.386420	4.763237e-05
4.7750	-0.384058	-0.384010	4.797161e-05
4.8000	-0.381424	-0.381378	4.644197e-05
4.8250	-0.378570	-0.378527	4.314580e-05
4.8500	-0.375499	-0.375461	3.828883e-05
4.8750	-0.372216	-0.372184	3.217661e-05
4.9000	-0.368725	-0.368700	2.521076e-05
4.9250	-0.365031	-0.365013	1.788534e-05
4.9500	-0.361137	-0.361126	1.078307e-05
4.9750	-0.357048	-0.357043	4.571666e-06
5.0000	-0.352769	-0.352769	0.000000e+00
5.0250	-0.348304	-0.348306	2.351117e-06
5.0500	-0.343658	-0.343661	2.809277e-06
5.0750	-0.338837	-0.338839	1.877733e-06
5.1000	-0.333844	-0.333844	6.308401e-09
5.1250	-0.328685	-0.328683	2.467876e-06
5.1500	-0.323365	-0.323360	5.190431e-06
5.1750	-0.317889	-0.317881	7.912053e-06
5.2000	-0.312261	-0.312251	1.042164e-05
5.2250	-0.306488	-0.306475	1.255510e-05
5.2500	-0.300574	-0.300559	1.419155e-05
5.2750	-0.294524	-0.294509	1.524957e-05
5.3000	-0.288344	-0.288328	1.568338e-05
5.3250	-0.282039	-0.282023	1.547912e-05
5.3500	-0.275614	-0.275600	1.465108e-05
5.3750	-0.269075	-0.269062	1.323800e-05
5.4000	-0.262427	-0.262416	1.129938e-05
5.4250	-0.255676	-0.255667	8.911762e-06
5.4500	-0.248826	-0.248820	6.165121e-06
5.4750	-0.241884	-0.241881	3.159215e-06
5.5000	-0.234854	-0.234854	2.775558e-17
5.5250	-0.227742	-0.227745	3.200987e-06
5.5500	-0.220554	-0.220560	6.321324e-06
5.5750	-0.213295	-0.213304	9.240028e-06
5.6000	-0.205970	-0.205981	1.184396e-05
5.6250	-0.198584	-0.198598	1.403124e-05
5.6500	-0.191144	-0.191160	1.571463e-05
5.6750	-0.183654	-0.183671	1.682482e-05
5.7000	-0.176120	-0.176137	1.731379e-05
5.7250	-0.168547	-0.168564	1.715800e-05
5.7500	-0.160940	-0.160956	1.636159e-05
5.7750	-0.153305	-0.153320	1.495951e-05
5.8000	-0.145646	-0.145659	1.302066e-05
5.8250	-0.137970	-0.137981	1.065087e-05
5.8500	-0.130281	-0.130289	7.995921e-06
5.8750	-0.122584	-0.122589	5.244460e-06
5.9000	-0.114884	-0.114887	2.630879e-06
5.9250	-0.107187	-0.107187	4.381211e-07
5.9500	-0.099497	-0.099496	9.995571e-07
5.9750	-0.091819	-0.091818	1.293896e-06
6.0000	-0.084158	-0.084158	2.775558e-17
6.0250	-0.076519	-0.076522	3.180436e-06
6.0500	-0.068907	-0.068915	7.784240e-06
6.0750	-0.061325	-0.061339	1.320660e-05
6.1000	-0.053780	-0.053799	1.890921e-05
6.1250	-0.046275	-0.046299	2.442264e-05
6.1500	-0.038814	-0.038843	2.934849e-05
6.1750	-0.031403	-0.031436	3.336164e-05
6.2000	-0.024045	-0.024081	3.621232e-05
6.2250	-0.016744	-0.016782	3.772813e-05
6.2500	-0.009506	-0.009544	3.781603e-05
6.2750	-0.002333	-0.002370	3.646423e-05
6.3000	0.004769	0.004736	3.374399e-05
6.3250	0.011798	0.011768	2.981139e-05
6.3500	0.018750	0.018725	2.490901e-05
6.3750	0.025620	0.025600	1.936750e-05
6.4000	0.032405	0.032391	1.360716e-05
6.4250	0.039102	0.039094	8.139378e-06
6.4500	0.045707	0.045703	3.567998e-06
6.4750	0.052216	0.052215	5.906538e-07
6.5000	0.058627	0.058627	6.938894e-18
6.5250	0.064936	0.064934	2.360990e-06
6.5500	0.071141	0.071134	7.040316e-06
6.5750	0.077238	0.077224	1.317908e-05
6.6000	0.083224	0.083204	2.001761e-05
6.6250	0.089096	0.089070	2.689634e-05
6.6500	0.094853	0.094820	3.325662e-05
6.6750	0.100491	0.100453	3.864139e-05
6.7000	0.106008	0.105966	4.269589e-05
6.7250	0.111402	0.111357	4.516819e-05
6.7500	0.116670	0.116624	4.590973e-05
6.7750	0.121809	0.121765	4.487573e-05
6.8000	0.126820	0.126777	4.212554e-05
6.8250	0.131698	0.131660	3.782297e-05
6.8500	0.136442	0.136410	3.223650e-05
6.8750	0.141051	0.141025	2.573939e-05
6.9000	0.145523	0.145504	1.880980e-05
6.9250	0.149856	0.149844	1.203081e-05
6.9500	0.154050	0.154044	6.090331e-06
6.9750	0.158102	0.158100	1.781002e-06
7.0000	0.162011	0.162011	0.000000e+00
7.0250	0.165777	0.165775	1.400857e-06
7.0500	0.169398	0.169392	5.349375e-06
7.0750	0.172873	0.172862	1.096701e-05
7.1000	0.176202	0.176185	1.747834e-05
7.1250	0.179384	0.179360	2.421058e-05
7.1500	0.182418	0.182388	3.059298e-05
7.1750	0.185304	0.185268	3.615622e-05
7.2000	0.188042	0.188001	4.053168e-05
7.2250	0.190631	0.190587	4.345076e-05
7.2500	0.193070	0.193026	4.474401e-05
7.2750	0.195361	0.195317	4.434029e-05
7.3000	0.197502	0.197460	4.226586e-05
7.3250	0.199495	0.199456	3.864341e-05
7.3500	0.201338	0.201304	3.369103e-05
7.3750	0.203033	0.203005	2.772112e-05
7.4000	0.204580	0.204559	2.113930e-05
7.4250	0.205979	0.205964	1.444319e-05
7.4500	0.207231	0.207223	8.221258e-06
7.4750	0.208336	0.208333	3.151461e-06
7.5000	0.209296	0.209296	0.000000e+00
7.5250	0.210111	0.210112	6.598104e-07
7.5500	0.210782	0.210781	7.118233e-07
7.5750	0.211310	0.211306	3.458969e-06
7.6000	0.211696	0.211689	7.008233e-06
7.6250	0.211941	0.211930	1.086724e-05
7.6500	0.212046	0.212032	1.462307e-05
7.6750	0.212014	0.211996	1.794068e-05
7.7000	0.211845	0.211824	2.056124e-05
7.7250	0.211540	0.211518	2.230053e-05
7.7500	0.211102	0.211079	2.304718e-05
7.7750	0.210531	0.210508	2.276101e-05
7.8000	0.209830	0.209809	2.147122e-05
7.8250	0.209000	0.208981	1.927465e-05
7.8500	0.208044	0.208027	1.633396e-05
7.8750	0.206962	0.206949	1.287581e-05
7.9000	0.205757	0.205748	9.188991e-06
7.9250	0.204431	0.204426	5.622544e-06
7.9500	0.202986	0.202984	2.583896e-06
7.9750	0.201424	0.201424	5.369168e-07
8.0000	0.199748	0.199748	0.000000e+00
8.0250	0.197959	0.197958	1.356211e-06
8.0500	0.196060	0.196055	4.287625e-06
8.0750	0.194053	0.194044	8.337051e-06
8.1000	0.191940	0.191927	1.309395e-05
8.1250	0.189724	0.189706	1.819241e-05
8.1500	0.187408	0.187384	2.330920e-05
8.1750	0.184993	0.184965	2.816169e-05
8.2000	0.182483	0.182450	3.250585e-05
8.2250	0.179880	0.179844	3.613424e-05
8.2500	0.177186	0.177147	3.887398e-05
8.2750	0.174405	0.174364	4.058471e-05
8.3000	0.171538	0.171497	4.115653e-05
8.3250	0.168589	0.168549	4.050804e-05
8.3500	0.165560	0.165522	3.858423e-05
8.3750	0.162455	0.162419	3.535450e-05
8.4000	0.159275	0.159244	3.081064e-05
8.4250	0.156024	0.155999	2.496479e-05
8.4500	0.152704	0.152686	1.784745e-05
8.4750	0.149319	0.149309	9.505452e-06
8.5000	0.145870	0.145870	0.000000e+00
8.5250	0.142362	0.142373	1.055841e-05
8.5500	0.138797	0.138819	2.190123e-05
8.5750	0.135177	0.135211	3.371453e-05
8.6000	0.131506	0.131551	4.567789e-05
8.6250	0.127786	0.127843	5.746629e-05
8.6500	0.124021	0.124089	6.875208e-05
8.6750	0.120213	0.120292	7.920680e-05
8.7000	0.116365	0.116453	8.850314e-05
8.7250	0.112480	0.112576	9.631670e-05
8.7500	0.108561	0.108663	1.023279e-04
8.7750	0.104611	0.104717	1.062239e-04
8.8000	0.100632	0.100740	1.076999e-04
8.8250	0.096628	0.096734	1.064618e-04
8.8500	0.092601	0.092703	1.022269e-04
8.8750	0.088555	0.088649	9.472660e-05
8.9000	0.084491	0.084575	8.370729e-05
8.9250	0.080413	0.080482	6.893252e-05
8.9500	0.076324	0.076375	5.018446e-05
8.9750	0.072226	0.072254	2.726554e-05
9.0000	0.068123	0.068123	1.387779e-17
9.0250	0.064016	0.063984	3.158028e-05
9.0500	0.059908	0.059842	6.668168e-05
9.0750	0.055803	0.055698	1.042999e-04
9.1000	0.051702	0.051559	1.434030e-04
9.1250	0.047609	0.047426	1.829293e-04
9.1500	0.043526	0.043304	2.217869e-04
9.1750	0.039455	0.039196	2.588517e-04
9.2000	0.035399	0.035106	2.929662e-04
9.2250	0.031360	0.031037	3.229382e-04
9.2500	0.027342	0.026994	3.475397e-04
9.2750	0.023346	0.022980	3.655055e-04
9.3000	0.019374	0.018999	3.755321e-04
9.3250	0.015430	0.015053	3.762767e-04
9.3500	0.011514	0.011148	3.663556e-04
9.3750	0.007631	0.007286	3.443437e-04
9.4000	0.003780	0.003472	3.087732e-04
9.4250	-0.000034	-0.000292	2.581326e-04
9.4500	-0.003810	-0.004001	1.908657e-04
9.4750	-0.007546	-0.007651	1.053709e-04
9.5000	-0.011240	-0.011240	5.204170e-18
9.5250	-0.014890	-0.014765	1.257847e-04
9.5500	-0.018495	-0.018227	2.679384e-04
9.5750	-0.022051	-0.021630	4.213075e-04
9.6000	-0.025558	-0.024977	5.807881e-04
9.6250	-0.029013	-0.028271	7.413262e-04
9.6500	-0.032415	-0.031517	8.979191e-04
9.6750	-0.035762	-0.034717	1.045615e-03
9.7000	-0.039053	-0.037874	1.179516e-03
9.7250	-0.042286	-0.040991	1.294774e-03
9.7500	-0.045459	-0.044073	1.386596e-03
9.7750	-0.048572	-0.047121	1.450242e-03
9.8000	-0.051622	-0.050141	1.481025e-03
9.8250	-0.054608	-0.053134	1.474315e-03
9.8500	-0.057529	-0.056104	1.425534e-03
9.8750	-0.060384	-0.059054	1.330160e-03
9.9000	-0.063172	-0.061988	1.183726e-03
9.9250	-0.065891	-0.064909	9.818214e-04
9.9500	-0.068540	-0.067820	7.200894e-04
9.9750	-0.071118	-0.070724	3.942303e-04
10.0000	-0.073625	-0.073625	1.387779e-17
